gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg; 0 – 14;Vrouwelijk;172
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg;15 – 64;Mannelijk;2496
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg;15 – 64;Vrouwelijk;3821
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg;65 – ...;Mannelijk;1783
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg;65 – ...;Vrouwelijk;1740
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier; 0 – 14;Mannelijk;333
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier; 0 – 14;Vrouwelijk;174
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier;15 – 64;Mannelijk;2192
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier;15 – 64;Vrouwelijk;3517
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier;65 – ...;Mannelijk;1720
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier;65 – ...;Vrouwelijk;1574
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen; 0 – 14;Mannelijk;1014
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen; 0 – 14;Vrouwelijk;605
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen;15 – 64;Mannelijk;4437
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen;15 – 64;Vrouwelijk;8023
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen;65 – ...;Mannelijk;2713
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen;65 – ...;Vrouwelijk;3540
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen; 0 – 14;Mannelijk;220
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen; 0 – 14;Vrouwelijk;111
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen;15 – 64;Mannelijk;1398
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen;15 – 64;Vrouwelijk;2219
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen;65 – ...;Mannelijk;838
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen;65 – ...;Vrouwelijk;900
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte; 0 – 14;Mannelijk;134
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte; 0 – 14;Vrouwelijk;102
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte;15 – 64;Mannelijk;1131
