région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_classique
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Féminin;98
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Masculin;458
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Féminin;680
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Masculin;716
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Féminin;626
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Masculin;218
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Féminin;171
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Masculin;857
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Féminin;1 290
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Masculin;1 135
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Féminin;1 198
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Masculin;103
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Féminin;71
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Masculin;606
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Féminin;771
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Masculin;584
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Féminin;520
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Masculin;78
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Féminin;45
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Masculin;225
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Féminin;400
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Masculin;348
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Féminin;332
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Masculin;92
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Féminin;80
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Masculin;402
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Féminin;536
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Masculin;435
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Féminin;412
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Masculin;136
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Féminin;117
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Masculin;629
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Féminin;851
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Masculin;677
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Féminin;542
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Masculin;86
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Féminin;88
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Masculin;341
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Féminin;472
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Masculin;456
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Féminin;422
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Masculin;133
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Féminin;135
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Masculin;563
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Féminin;841
