région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Malines;12021;2500;Lierre;0 - 14;Féminin;232
Région flamande;Anvers;Malines;12021;2500;Lierre;0 - 14;Masculin;292
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Masculin;1065
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Féminin;1509
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Masculin;1178
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Féminin;1247
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Féminin;634
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Masculin;712
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Masculin;2550
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Féminin;4078
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Masculin;2553
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Féminin;2938
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Féminin;151
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Masculin;193
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Féminin;923
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Masculin;675
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Masculin;763
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Féminin;736
Région flamande;Anvers;Malines;12029;2580;Putte;0 - 14;Masculin;107
Région flamande;Anvers;Malines;12029;2580;Putte;0 - 14;Féminin;88
Région flamande;Anvers;Malines;12029;2580;Putte;15 - 64;Féminin;688
Région flamande;Anvers;Malines;12029;2580;Putte;15 - 64;Masculin;583
Région flamande;Anvers;Malines;12029;2580;Putte;65 - ...;Masculin;613
Région flamande;Anvers;Malines;12029;2580;Putte;65 - ...;Féminin;687
Région flamande;Anvers;Malines;12030;2870;Puurs;0 - 14;Masculin;101
Région flamande;Anvers;Malines;12030;2870;Puurs;0 - 14;Féminin;48
Région flamande;Anvers;Malines;12030;2870;Puurs;15 - 64;Féminin;717
Région flamande;Anvers;Malines;12030;2870;Puurs;15 - 64;Masculin;573
Région flamande;Anvers;Malines;12030;2870;Puurs;65 - ...;Féminin;616
Région flamande;Anvers;Malines;12030;2870;Puurs;65 - ...;Masculin;621
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;0 - 14;Féminin;47
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;0 - 14;Masculin;58
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;15 - 64;Féminin;360
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;15 - 64;Masculin;230
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;65 - ...;Masculin;305
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;65 - ...;Féminin;303
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;0 - 14;Féminin;123
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;0 - 14;Masculin;114
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;15 - 64;Masculin;616
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;15 - 64;Féminin;833
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;65 - ...;Féminin;725
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;65 - ...;Masculin;723
Région flamande;Anvers;Malines;12040;2830;Willebroek;0 - 14;Masculin;180
Région flamande;Anvers;Malines;12040;2830;Willebroek;0 - 14;Féminin;137
Région flamande;Anvers;Malines;12040;2830;Willebroek;15 - 64;Masculin;853
Région flamande;Anvers;Malines;12040;2830;Willebroek;15 - 64;Féminin;1196
Région flamande;Anvers;Malines;12040;2830;Willebroek;65 - ...;Masculin;842
Région flamande;Anvers;Malines;12040;2830;Willebroek;65 - ...;Féminin;969
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;0 - 14;Féminin;75
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;0 - 14;Masculin;100
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;15 - 64;Féminin;637
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;15 - 64;Masculin;476
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;65 - ...;Masculin;440
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;65 - ...;Féminin;420
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;0 - 14;Masculin;14
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;0 - 14;Féminin;13
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;15 - 64;Masculin;64
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;15 - 64;Féminin;111
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;65 - ...;Féminin;84
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;65 - ...;Masculin;79
Région flamande;Anvers;Turnhout;13003;2490;Balen;0 - 14;Masculin;246
Région flamande;Anvers;Turnhout;13003;2490;Balen;0 - 14;Féminin;210
Région flamande;Anvers;Turnhout;13003;2490;Balen;15 - 64;Masculin;885
Région flamande;Anvers;Turnhout;13003;2490;Balen;15 - 64;Féminin;1175
Région flamande;Anvers;Turnhout;13003;2490;Balen;65 - ...;Féminin;781
Région flamande;Anvers;Turnhout;13003;2490;Balen;65 - ...;Masculin;801
Région flamande;Anvers;Turnhout;13004;2340;Beerse;0 - 14;Masculin;186
Région flamande;Anvers;Turnhout;13004;2340;Beerse;0 - 14;Féminin;152
Région flamande;Anvers;Turnhout;13004;2340;Beerse;15 - 64;Féminin;851
Région flamande;Anvers;Turnhout;13004;2340;Beerse;15 - 64;Masculin;598
Région flamande;Anvers;Turnhout;13004;2340;Beerse;65 - ...;Féminin;536
