région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge_(ans);sexe;nombre_de_séjours
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg;15 – 64;Féminin;1979
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg;65 – ...;Masculin;1329
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg;65 – ...;Féminin;1366
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre; 0 – 14;Masculin;313
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre; 0 – 14;Féminin;256
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre;15 – 64;Masculin;1091
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre;15 – 64;Féminin;1539
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre;65 – ...;Masculin;1066
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre;65 – ...;Féminin;1210
Région flamande;Anvers;Malines;12025.0;2800.0;Malines; 0 – 14;Masculin;696
Région flamande;Anvers;Malines;12025.0;2800.0;Malines; 0 – 14;Féminin;616
Région flamande;Anvers;Malines;12025.0;2800.0;Malines;15 – 64;Masculin;2785
Région flamande;Anvers;Malines;12025.0;2800.0;Malines;15 – 64;Féminin;4202
Région flamande;Anvers;Malines;12025.0;2800.0;Malines;65 – ...;Masculin;2620
Région flamande;Anvers;Malines;12025.0;2800.0;Malines;65 – ...;Féminin;2882
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen; 0 – 14;Masculin;203
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen; 0 – 14;Féminin;138
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen;15 – 64;Masculin;677
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen;15 – 64;Féminin;988
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen;65 – ...;Masculin;667
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen;65 – ...;Féminin;683
Région flamande;Anvers;Malines;12029.0;2580.0;Putte; 0 – 14;Masculin;134
Région flamande;Anvers;Malines;12029.0;2580.0;Putte; 0 – 14;Féminin;81
Région flamande;Anvers;Malines;12029.0;2580.0;Putte;15 – 64;Masculin;580
Région flamande;Anvers;Malines;12029.0;2580.0;Putte;15 – 64;Féminin;807
Région flamande;Anvers;Malines;12029.0;2580.0;Putte;65 – ...;Masculin;565
Région flamande;Anvers;Malines;12029.0;2580.0;Putte;65 – ...;Féminin;594
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs; 0 – 14;Masculin;69
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs; 0 – 14;Féminin;87
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs;15 – 64;Masculin;501
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs;15 – 64;Féminin;691
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs;65 – ...;Masculin;515
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs;65 – ...;Féminin;546
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands; 0 – 14;Masculin;43
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands; 0 – 14;Féminin;37
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands;15 – 64;Masculin;181
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands;15 – 64;Féminin;361
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands;65 – ...;Masculin;279
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands;65 – ...;Féminin;306
Région flamande;Anvers;Malines;12035.0;2860.0;Sint-Katelijne-Waver; 0 – 14;Masculin;152
Région flamande;Anvers;Malines;12035.0;2860.0;Sint-Katelijne-Waver; 0 – 14;Féminin;101
Région flamande;Anvers;Malines;12035.0;2860.0;Sint-Katelijne-Waver;15 – 64;Masculin;607
Région flamande;Anvers;Malines;12035.0;2860.0;Sint-Katelijne-Waver;15 – 64;Féminin;849
Région flamande;Anvers;Malines;12035.0;2860.0;Sint-Katelijne-Waver;65 – ...;Masculin;638
Région flamande;Anvers;Malines;12035.0;2860.0;Sint-Katelijne-Waver;65 – ...;Féminin;721
Région flamande;Anvers;Malines;12040.0;2830.0;Willebroek; 0 – 14;Masculin;178
Région flamande;Anvers;Malines;12040.0;2830.0;Willebroek; 0 – 14;Féminin;115
Région flamande;Anvers;Malines;12040.0;2830.0;Willebroek;15 – 64;Masculin;906
Région flamande;Anvers;Malines;12040.0;2830.0;Willebroek;15 – 64;Féminin;1287
Région flamande;Anvers;Malines;12040.0;2830.0;Willebroek;65 – ...;Masculin;888
Région flamande;Anvers;Malines;12040.0;2830.0;Willebroek;65 – ...;Féminin;1009
Région flamande;Anvers;Turnhout;13001.0;2370.0;Arendonk; 0 – 14;Masculin;108
Région flamande;Anvers;Turnhout;13001.0;2370.0;Arendonk; 0 – 14;Féminin;114
Région flamande;Anvers;Turnhout;13001.0;2370.0;Arendonk;15 – 64;Masculin;418
Région flamande;Anvers;Turnhout;13001.0;2370.0;Arendonk;15 – 64;Féminin;623
Région flamande;Anvers;Turnhout;13001.0;2370.0;Arendonk;65 – ...;Masculin;341
Région flamande;Anvers;Turnhout;13001.0;2370.0;Arendonk;65 – ...;Féminin;419
