gewest;provincie_of_brussels_hoofdstedelijk_gewest;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;daghospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;0 - 14;Mannelijk;243
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;0 - 14;Vrouwelijk;89
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;15 - 64;Mannelijk;1.332
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;15 - 64;Vrouwelijk;2.005
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;65 - ...;Mannelijk;969
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;65 - ...;Vrouwelijk;1.023
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;0 - 14;Mannelijk;125
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;0 - 14;Vrouwelijk;86
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;15 - 64;Mannelijk;1.329
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;15 - 64;Vrouwelijk;1.799
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;65 - ...;Mannelijk;1.076
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;65 - ...;Vrouwelijk;1.074
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;0 - 14;Mannelijk;78
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;0 - 14;Vrouwelijk;49
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;15 - 64;Mannelijk;882
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;15 - 64;Vrouwelijk;1.421
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;65 - ...;Mannelijk;643
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;65 - ...;Vrouwelijk;841
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;0 - 14;Mannelijk;161
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;0 - 14;Vrouwelijk;127
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;15 - 64;Mannelijk;1.144
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;15 - 64;Vrouwelijk;1.531
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;65 - ...;Mannelijk;1.242
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;65 - ...;Vrouwelijk;1.305
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;0 - 14;Mannelijk;188
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;0 - 14;Vrouwelijk;98
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;15 - 64;Mannelijk;1.862
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;15 - 64;Vrouwelijk;2.768
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;65 - ...;Mannelijk;1.543
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;65 - ...;Vrouwelijk;1.495
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;0 - 14;Mannelijk;134
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;0 - 14;Vrouwelijk;76
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;15 - 64;Mannelijk;1.243
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;15 - 64;Vrouwelijk;2.047
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;65 - ...;Mannelijk;945
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;65 - ...;Vrouwelijk;1.322
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;0 - 14;Mannelijk;370
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;0 - 14;Vrouwelijk;309
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;15 - 64;Mannelijk;2.914
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;15 - 64;Vrouwelijk;4.381
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;65 - ...;Mannelijk;2.663
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;65 - ...;Vrouwelijk;2.881
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;0 - 14;Mannelijk;295
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;0 - 14;Vrouwelijk;183
