gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek; 0 – 14;Vrouwelijk;116
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;15 – 64;Mannelijk;643
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;15 – 64;Vrouwelijk;866
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;65 – ...;Mannelijk;515
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;65 – ...;Vrouwelijk;487
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem; 0 – 14;Mannelijk;81
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem; 0 – 14;Vrouwelijk;52
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem;15 – 64;Mannelijk;250
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem;15 – 64;Vrouwelijk;412
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem;65 – ...;Mannelijk;339
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem;65 – ...;Vrouwelijk;357
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem; 0 – 14;Mannelijk;83
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem; 0 – 14;Vrouwelijk;65
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem;15 – 64;Mannelijk;419
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem;15 – 64;Vrouwelijk;547
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem;65 – ...;Mannelijk;439
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem;65 – ...;Vrouwelijk;483
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel; 0 – 14;Mannelijk;141
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel; 0 – 14;Vrouwelijk;127
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel;15 – 64;Mannelijk;661
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel;15 – 64;Vrouwelijk;934
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel;65 – ...;Mannelijk;514
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel;65 – ...;Vrouwelijk;502
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven; 0 – 14;Mannelijk;87
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven; 0 – 14;Vrouwelijk;74
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven;15 – 64;Mannelijk;407
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven;15 – 64;Vrouwelijk;504
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven;65 – ...;Mannelijk;382
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven;65 – ...;Vrouwelijk;427
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel; 0 – 14;Mannelijk;169
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel; 0 – 14;Vrouwelijk;162
