région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_de_jour
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Masculin;1 708
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Féminin;1 380
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Masculin;270
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Féminin;165
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Masculin;2 414
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Féminin;3 452
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Masculin;2 535
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Féminin;2 426
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Masculin;97
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Féminin;92
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Masculin;1 501
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Féminin;2 122
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Masculin;1 416
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Féminin;1 302
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Masculin;63
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Féminin;39
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Masculin;600
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Féminin;1 093
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Indéfinissable;0
