gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;klassieke_hospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Vrouwelijk;556
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Mannelijk;97
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Vrouwelijk;80
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Mannelijk;404
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Vrouwelijk;567
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Mannelijk;511
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Vrouwelijk;468
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Mannelijk;53
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Vrouwelijk;50
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Mannelijk;247
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Vrouwelijk;321
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Mannelijk;278
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Vrouwelijk;275
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Mannelijk;155
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Vrouwelijk;98
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Mannelijk;458
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Vrouwelijk;680
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Mannelijk;716
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Vrouwelijk;626
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Mannelijk;218
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Vrouwelijk;171
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;15 - 64;Mannelijk;857
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;15 - 64;Vrouwelijk;1 290
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;65 - ...;Mannelijk;1 135
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;65 - ...;Vrouwelijk;1 198
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;65 - ...;Veranderd;0
