gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;65 - ...;Mannelijk;508
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;65 - ...;Vrouwelijk;554
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;0 - 14;Mannelijk;58
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;0 - 14;Vrouwelijk;60
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;15 - 64;Mannelijk;339
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;15 - 64;Vrouwelijk;456
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;65 - ...;Mannelijk;373
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;65 - ...;Vrouwelijk;379
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;0 - 14;Mannelijk;126
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;0 - 14;Vrouwelijk;79
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;15 - 64;Mannelijk;430
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;15 - 64;Vrouwelijk;607
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;65 - ...;Mannelijk;595
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;65 - ...;Vrouwelijk;577
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;0 - 14;Mannelijk;115
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;0 - 14;Vrouwelijk;65
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;15 - 64;Mannelijk;795
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;15 - 64;Vrouwelijk;926
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;65 - ...;Mannelijk;700
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;65 - ...;Vrouwelijk;761
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;0 - 14;Mannelijk;108
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;0 - 14;Vrouwelijk;83
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;15 - 64;Mannelijk;619
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;15 - 64;Vrouwelijk;860
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;65 - ...;Mannelijk;602
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;65 - ...;Vrouwelijk;682
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;0 - 14;Mannelijk;285
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;0 - 14;Vrouwelijk;210
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;15 - 64;Mannelijk;1302
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;15 - 64;Vrouwelijk;1860
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;65 - ...;Mannelijk;1423
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;65 - ...;Vrouwelijk;1512
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;0 - 14;Mannelijk;276
