région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospita-_lisation_de_jour
Région flamande;Anvers;Turnhout;13011;2200;Herentals;65 - ...;Féminin;1907
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;0 - 14;Masculin;50
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;0 - 14;Féminin;37
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;15 - 64;Masculin;627
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;15 - 64;Féminin;1085
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;65 - ...;Masculin;680
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;65 - ...;Féminin;599
Région flamande;Anvers;Turnhout;13013;2230;Herselt;0 - 14;Masculin;65
Région flamande;Anvers;Turnhout;13013;2230;Herselt;0 - 14;Féminin;56
Région flamande;Anvers;Turnhout;13013;2230;Herselt;15 - 64;Masculin;1051
Région flamande;Anvers;Turnhout;13013;2230;Herselt;15 - 64;Féminin;1505
Région flamande;Anvers;Turnhout;13013;2230;Herselt;65 - ...;Masculin;948
Région flamande;Anvers;Turnhout;13013;2230;Herselt;65 - ...;Féminin;768
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;0 - 14;Masculin;153
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;0 - 14;Féminin;93
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;15 - 64;Masculin;1198
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;15 - 64;Féminin;1888
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;65 - ...;Masculin;1112
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;65 - ...;Féminin;955
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;0 - 14;Masculin;54
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;0 - 14;Féminin;50
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;15 - 64;Masculin;736
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;15 - 64;Féminin;1023
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;65 - ...;Masculin;705
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;65 - ...;Féminin;525
Région flamande;Anvers;Turnhout;13017;2460;Kasterlee;0 - 14;Masculin;129
Région flamande;Anvers;Turnhout;13017;2460;Kasterlee;0 - 14;Féminin;114
Région flamande;Anvers;Turnhout;13017;2460;Kasterlee;15 - 64;Masculin;1299
Région flamande;Anvers;Turnhout;13017;2460;Kasterlee;15 - 64;Féminin;1899
