région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospita-_lisation_classique
Région flamande;Anvers;Turnhout;13003;2490;Balen;15 - 64;Féminin;1.214
Région flamande;Anvers;Turnhout;13003;2490;Balen;65 - ...;Masculin;842
Région flamande;Anvers;Turnhout;13003;2490;Balen;65 - ...;Féminin;822
Région flamande;Anvers;Turnhout;13004;2340;Beerse;0 - 14;Masculin;188
Région flamande;Anvers;Turnhout;13004;2340;Beerse;0 - 14;Féminin;137
Région flamande;Anvers;Turnhout;13004;2340;Beerse;15 - 64;Masculin;598
Région flamande;Anvers;Turnhout;13004;2340;Beerse;15 - 64;Féminin;834
Région flamande;Anvers;Turnhout;13004;2340;Beerse;65 - ...;Masculin;570
Région flamande;Anvers;Turnhout;13004;2340;Beerse;65 - ...;Féminin;567
Région flamande;Anvers;Turnhout;13006;2480;Dessel;0 - 14;Masculin;97
Région flamande;Anvers;Turnhout;13006;2480;Dessel;0 - 14;Féminin;88
Région flamande;Anvers;Turnhout;13006;2480;Dessel;15 - 64;Masculin;351
Région flamande;Anvers;Turnhout;13006;2480;Dessel;15 - 64;Féminin;454
Région flamande;Anvers;Turnhout;13006;2480;Dessel;65 - ...;Masculin;437
Région flamande;Anvers;Turnhout;13006;2480;Dessel;65 - ...;Féminin;338
Région flamande;Anvers;Turnhout;13008;2440;Geel;0 - 14;Masculin;433
Région flamande;Anvers;Turnhout;13008;2440;Geel;0 - 14;Féminin;328
Région flamande;Anvers;Turnhout;13008;2440;Geel;15 - 64;Masculin;1.789
Région flamande;Anvers;Turnhout;13008;2440;Geel;15 - 64;Féminin;2.049
Région flamande;Anvers;Turnhout;13008;2440;Geel;65 - ...;Masculin;1.533
Région flamande;Anvers;Turnhout;13008;2440;Geel;65 - ...;Féminin;1.451
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;0 - 14;Masculin;63
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;0 - 14;Féminin;57
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;15 - 64;Masculin;344
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;15 - 64;Féminin;487
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;65 - ...;Masculin;373
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;65 - ...;Féminin;383
Région flamande;Anvers;Turnhout;13011;2200;Herentals;0 - 14;Masculin;184
Région flamande;Anvers;Turnhout;13011;2200;Herentals;0 - 14;Féminin;195
Région flamande;Anvers;Turnhout;13011;2200;Herentals;15 - 64;Masculin;928
Région flamande;Anvers;Turnhout;13011;2200;Herentals;15 - 64;Féminin;1.132
Région flamande;Anvers;Turnhout;13011;2200;Herentals;65 - ...;Masculin;1.006
Région flamande;Anvers;Turnhout;13011;2200;Herentals;65 - ...;Féminin;1.060
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;0 - 14;Masculin;56
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;0 - 14;Féminin;48
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;15 - 64;Masculin;269
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;15 - 64;Féminin;358
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;65 - ...;Masculin;341
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;65 - ...;Féminin;365
Région flamande;Anvers;Turnhout;13013;2230;Herselt;0 - 14;Masculin;77
Région flamande;Anvers;Turnhout;13013;2230;Herselt;0 - 14;Féminin;70
Région flamande;Anvers;Turnhout;13013;2230;Herselt;15 - 64;Masculin;476
Région flamande;Anvers;Turnhout;13013;2230;Herselt;15 - 64;Féminin;564
Région flamande;Anvers;Turnhout;13013;2230;Herselt;65 - ...;Masculin;579
Région flamande;Anvers;Turnhout;13013;2230;Herselt;65 - ...;Féminin;578
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;0 - 14;Masculin;143
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;0 - 14;Féminin;144
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;15 - 64;Masculin;645
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;15 - 64;Féminin;906
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;65 - ...;Masculin;683
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;65 - ...;Féminin;610
